sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_c35_s483_q01.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
2,multiple_choice,Easy,1,Which shown solid has two circular faces?,Cylinder,/session_materials/35/images/g6_c35_s483_q02.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cone"", ""is_correct"": false, ""option_image"": """"}]"
3,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_c35_s483_q03.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
4,multiple_choice,Easy,1,Which shown solid has two circular faces?,Cylinder,/session_materials/35/images/g6_c35_s483_q04.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cone"", ""is_correct"": false, ""option_image"": """"}]"
5,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_c35_s483_q05.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
6,multiple_choice,Easy,1,Which shown solid has two circular faces?,Cylinder,/session_materials/35/images/g6_c35_s483_q06.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cone"", ""is_correct"": false, ""option_image"": """"}]"
7,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_c35_s483_q07.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
8,multiple_choice,Easy,1,Which shown solid has two circular faces?,Cylinder,/session_materials/35/images/g6_c35_s483_q08.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cone"", ""is_correct"": false, ""option_image"": """"}]"
9,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_c35_s483_q09.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
10,multiple_choice,Easy,1,Which shown solid has two circular faces?,Cylinder,/session_materials/35/images/g6_c35_s483_q10.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cone"", ""is_correct"": false, ""option_image"": """"}]"
11,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_c35_s483_q11.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
