sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,fill_in_blank,Easy,1,Fill in the blank: The square shown has ____ lines of symmetry.,4,/session_materials/68/images/g6_c68_s1162_q01.svg,[]
2,fill_in_blank,Easy,1,Fill in the blank: The isosceles triangle shown has ____ line of symmetry.,1,/session_materials/68/images/g6_c68_s1162_q02.svg,[]
3,multiple_choice,Easy,1,"In the grid image, the red line acts as:",Vertical mirror line,/session_materials/68/images/g6_c68_s1162_q03.svg,"[{""option_text"": ""Horizontal axis"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Vertical mirror line"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Diagonal line"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Number line"", ""is_correct"": false, ""option_image"": """"}]"
4,multiple_choice,Medium,1,The shape on the right side is the ____ of the shape on the left.,Reflection,/session_materials/68/images/g6_c68_s1162_q04.svg,"[{""option_text"": ""Translation"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Rotation"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Reflection"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Enlargement"", ""is_correct"": false, ""option_image"": """"}]"
5,fill_in_blank,Easy,1,Fill in the blank: The square shown has ____ lines of symmetry.,4,/session_materials/68/images/g6_c68_s1162_q05.svg,[]
6,fill_in_blank,Easy,1,Fill in the blank: The isosceles triangle shown has ____ line of symmetry.,1,/session_materials/68/images/g6_c68_s1162_q06.svg,[]
7,multiple_choice,Easy,1,"In the grid image, the red line acts as:",Vertical mirror line,/session_materials/68/images/g6_c68_s1162_q07.svg,"[{""option_text"": ""Horizontal axis"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Vertical mirror line"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Diagonal line"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Number line"", ""is_correct"": false, ""option_image"": """"}]"
8,multiple_choice,Medium,1,The shape on the right side is the ____ of the shape on the left.,Reflection,/session_materials/68/images/g6_c68_s1162_q08.svg,"[{""option_text"": ""Translation"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Rotation"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Reflection"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Enlargement"", ""is_correct"": false, ""option_image"": """"}]"
9,fill_in_blank,Easy,1,Fill in the blank: The square shown has ____ lines of symmetry.,4,/session_materials/68/images/g6_c68_s1162_q09.svg,[]
10,fill_in_blank,Easy,1,Fill in the blank: The isosceles triangle shown has ____ line of symmetry.,1,/session_materials/68/images/g6_c68_s1162_q10.svg,[]
11,multiple_choice,Easy,1,"In the grid image, the red line acts as:",Vertical mirror line,/session_materials/68/images/g6_c68_s1162_q11.svg,"[{""option_text"": ""Horizontal axis"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Vertical mirror line"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Diagonal line"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Number line"", ""is_correct"": false, ""option_image"": """"}]"
