ci_question_id,module,version,grade,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG8_CA_01,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,ANALYZE,"What number comes next in the sequence? 2, 5, 10, 17, 26, ___","35","37","39","33","N/A","B",3,60,"CORRECT=ANALYTICAL+TECH","MEDIUM",FALSE,"BOOST_ANALYTICAL","Differences between terms: 3,5,7,9 — each increasing by 2. Next difference is 11. So 26+11 = 37."
APG8_CA_02,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,UNDERSTAND,"Pen is to Writer as Scalpel is to ___","Hospital","Medicine","Surgeon","Nurse","N/A","C",2,45,"CORRECT=ANALYTICAL+HEALTH","EASY",FALSE,"BOOST_ANALYTICAL","A pen is the primary tool of a writer. A scalpel is the primary surgical tool of a Surgeon."
APG8_CA_03,APTIPATH,V3,GRADE_8,CORE_APTITUDE,FILL_BLANK,APPLY,"A bicycle shop has 8 bicycles and 5 tricycles. Total number of wheels in the shop is ___","31","29","33","26","N/A","A",3,60,"CORRECT=MATH_APTITUDE+ENGINEERING","EASY",FALSE,"BOOST_STEM","Bicycles have 2 wheels each: 8x2=16. Tricycles have 3 wheels each: 5x3=15. Total: 16+15=31."
APG8_CA_04,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,ANALYZE,"Which word is the odd one out: Rose, Tulip, Mango, Sunflower, Lotus","Rose","Tulip","Mango","Sunflower","N/A","C",2,45,"CORRECT=ANALYTICAL+BIOLOGY","EASY",FALSE,"BOOST_ANALYTICAL","Mango is a fruit. All others are flowers. This tests classification and categorical thinking."
APG8_CA_05,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,ANALYZE,"If APPLE is written backwards as ELPPA then how would MANGO be written?","OGNAM","AMGON","NAGMO","OMNAG","N/A","A",3,60,"CORRECT=PATTERN_RECOGNITION+TECH","EASY",FALSE,"BOOST_ANALYTICAL","Reversing letters: M-A-N-G-O reversed is O-G-N-A-M."
APG8_CA_06,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,APPLY,"Priya has Rs.60 and Arjun has Rs.40. They need Rs.120 to buy a gift together. How much more money do they need?","Rs.0","Rs.20","Rs.30","Rs.10","N/A","B",3,60,"CORRECT=MATH_APTITUDE+FINANCE","EASY",FALSE,"BOOST_ANALYTICAL","Priya+Arjun = 60+40 = Rs.100. They need Rs.120. Shortfall = 120-100 = Rs.20."
APG8_CA_07,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,ANALYZE,"In a row of 10 students Riya stands 4th from the left. How many students are standing to her RIGHT?","4","5","6","7","N/A","C",2,45,"CORRECT=ANALYTICAL+REASONING","EASY",FALSE,"BOOST_REASONING","Total students = 10. Riya is at position 4. Students to her right = 10-4 = 6."
APG8_CA_08,APTIPATH,V3,GRADE_8,CORE_APTITUDE,FILL_BLANK,APPLY,"A shop sells 3 books for Rs.90. The cost of 7 books at the same rate is Rs.___","210","190","230","180","N/A","A",3,60,"CORRECT=MATH_APTITUDE+FINANCE","EASY",FALSE,"BOOST_STEM","Price per book = 90÷3 = Rs.30. Cost of 7 books = 7×30 = Rs.210."
APG8_CA_09,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,ANALYZE,"What comes next in this pattern? ABAB BCBC CDCD ___","DEDE","EFEF","DCDC","ABCD","N/A","A",3,60,"CORRECT=PATTERN_RECOGNITION+TECH","MEDIUM",FALSE,"BOOST_ANALYTICAL","Each block shifts both letters forward by one position in the alphabet. After CD comes DE so the pattern is DEDE."
APG8_CA_10,APTIPATH,V3,GRADE_8,CORE_APTITUDE,MCQ,APPLY,"Asha can complete a task in 6 days. Bina can complete the same task in 3 days. Working together they finish in:","4 days","3 days","2 days","1.5 days","N/A","C",4,90,"CORRECT=MATH_APTITUDE+ANALYTICAL","HARD",FALSE,"BOOST_STEM","Asha's rate = 1/6 per day. Bina's rate = 1/3 per day. Combined = 1/6+2/6 = 3/6 = 1/2 per day. So they finish in 2 days."
APG8_AC_01,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,APPLY,"Your class is putting on a school play. You have 30 minutes and 5 tasks. You can only complete 3. Which would you prioritize?","Costume stage and music (appearance matters most)","Script costume and stage (story and presence are essential)","Script lights and stage (core performance elements)","Music lights and costume (atmosphere matters most)","N/A","C",4,90,"A=CREATIVE;B=BALANCED;C=SYSTEMS_THINKING;D=EXPERIENTIAL","MEDIUM",TRUE,"BOOST_TECH+ENGINEERING","Script (content) + lights (visibility) + stage (structure) are the three non-negotiable elements for any performance. Shows priority thinking."
