ci_question_id,module,version,grade,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG9_CA_01,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,ANALYZE,"What comes next in the sequence? 3, 7, 15, 31, 63, ___","125","127","126","130","N/A","B",4,75,"CORRECT=ANALYTICAL+TECH","MEDIUM",FALSE,"BOOST_ANALYTICAL","Each term = previous × 2 + 1. So 63×2+1 = 127. This tests geometric-plus-constant pattern recognition."
APG9_CA_02,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,APPLY,"A shirt originally costs Rs.800. It is on sale with a 15% discount. The sale price is:","Rs.680","Rs.720","Rs.650","Rs.740","N/A","A",3,60,"CORRECT=MATH_APTITUDE+FINANCE","MEDIUM",FALSE,"BOOST_ANALYTICAL","Discount = 15% of 800 = Rs.120. Sale price = 800 - 120 = Rs.680. Tests percentage application."
APG9_CA_03,APTIPATH,V3,GRADE_9,CORE_APTITUDE,FILL_BLANK,APPLY,"The ratio of boys to girls in a class is 3:2 and there are 30 students total. The number of girls is ___","12","18","15","10","N/A","A",3,60,"CORRECT=MATH_APTITUDE+ANALYTICAL","MEDIUM",FALSE,"BOOST_STEM","Girls = 2/(3+2) × 30 = 2/5 × 30 = 12. Tests ratio and proportion."
APG9_CA_04,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,ANALYZE,"Monthly rainfall data: Jan=20mm Feb=15mm Mar=30mm Apr=45mm May=60mm. The average monthly rainfall for these 5 months is:","34mm","38mm","30mm","42mm","N/A","A",3,75,"CORRECT=DATA_ANALYTICS+ANALYTICAL","MEDIUM",FALSE,"BOOST_ANALYTICAL","Average = (20+15+30+45+60)/5 = 170/5 = 34mm. Tests data interpretation and arithmetic mean."
APG9_CA_05,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,UNDERSTAND,"Telescope is to Stars as Microscope is to ___","Laboratory","Bacteria","Lens","Doctor","N/A","B",2,45,"CORRECT=ANALYTICAL+SCIENCE","EASY",FALSE,"BOOST_ANALYTICAL","Telescopes observe distant objects like stars. Microscopes observe tiny objects like bacteria. Tool to observed-object analogy."
APG9_CA_06,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,APPLY,"If 3x + 7 = 22 then the value of x is:","3","4","5","6","N/A","C",4,60,"CORRECT=MATH_APTITUDE+ENGINEERING","MEDIUM",FALSE,"BOOST_STEM","3x + 7 = 22. Subtract 7: 3x = 15. Divide by 3: x = 5. Basic algebraic equation solving."
APG9_CA_07,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,APPLY,"A shopkeeper buys 50 apples at Rs.5 each and sells them at Rs.7 each. His total profit is:","Rs.50","Rs.100","Rs.150","Rs.200","N/A","B",3,60,"CORRECT=FINANCE_APTITUDE+BUSINESS","MEDIUM",FALSE,"BOOST_BUSINESS","Cost = 50×5 = Rs.250. Revenue = 50×7 = Rs.350. Profit = 350-250 = Rs.100."
APG9_CA_08,APTIPATH,V3,GRADE_9,CORE_APTITUDE,FILL_BLANK,APPLY,"If 4 workers can paint a wall in 6 hours then 8 workers will take ___ hours to paint the same wall","3","4","2","6","N/A","A",4,75,"CORRECT=ANALYTICAL+ENGINEERING","MEDIUM",FALSE,"BOOST_STEM","Total work = 4 workers × 6 hours = 24 worker-hours. With 8 workers: 24/8 = 3 hours. Inverse proportionality."
APG9_CA_09,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,ANALYZE,"In the Fibonacci sequence 1 1 2 3 5 8 13 the next number is:","18","20","21","19","N/A","C",4,60,"CORRECT=PATTERN_RECOGNITION+TECH","MEDIUM",FALSE,"BOOST_REASONING","Fibonacci rule: each number = sum of previous two. 8+13 = 21. One of the most important patterns in mathematics and nature."
APG9_CA_10,APTIPATH,V3,GRADE_9,CORE_APTITUDE,MCQ,ANALYZE,"All students in Section A scored above 80. Rohan scored 75. Therefore:","Rohan is in Section A","Rohan is definitely NOT in Section A","Rohan might be in Section A","We cannot determine Rohan's section","N/A","B",4,75,"CORRECT=LOGICAL_REASONING+LAW","HARD",FALSE,"BOOST_REASONING","This is contrapositive logic: If Section A implies above 80 and Rohan is NOT above 80 then Rohan is NOT in Section A. Certain conclusion."
