sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,multiple_choice,Easy,1,"In the pictograph, 1 star = 2 students. Blue has 5 stars. Number of students in Blue is:",10,/session_materials/43/images/g6_c43_s831_q01.svg,"[{""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""10"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""12"", ""is_correct"": false, ""option_image"": """"}]"
2,short_answer,Medium,2,"In the pictograph, find total students across Red, Blue and Green.",24,/session_materials/43/images/g6_c43_s831_q02.svg,[]
3,fill_in_blank,Easy,1,"From tally table, Banana frequency is ____.",7,/session_materials/43/images/g6_c43_s831_q03.svg,[]
4,short_answer,Medium,2,"From tally table, find total frequency of all items.",16,/session_materials/43/images/g6_c43_s831_q04.svg,[]
5,multiple_choice,Easy,1,"From tally table, which item has highest frequency?",Banana,/session_materials/43/images/g6_c43_s831_q05.svg,"[{""option_text"": ""Apple"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Banana"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Mango"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""All equal"", ""is_correct"": false, ""option_image"": """"}]"
6,multiple_choice,Easy,1,"In the pictograph, 1 star = 2 students. Blue has 5 stars. Number of students in Blue is:",10,/session_materials/43/images/g6_c43_s831_q06.svg,"[{""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""10"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""12"", ""is_correct"": false, ""option_image"": """"}]"
7,short_answer,Medium,2,"In the pictograph, find total students across Red, Blue and Green.",24,/session_materials/43/images/g6_c43_s831_q07.svg,[]
8,fill_in_blank,Easy,1,"From tally table, Banana frequency is ____.",7,/session_materials/43/images/g6_c43_s831_q08.svg,[]
9,short_answer,Medium,2,"From tally table, find total frequency of all items.",16,/session_materials/43/images/g6_c43_s831_q09.svg,[]
10,multiple_choice,Easy,1,"From tally table, which item has highest frequency?",Banana,/session_materials/43/images/g6_c43_s831_q10.svg,"[{""option_text"": ""Apple"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Banana"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Mango"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""All equal"", ""is_correct"": false, ""option_image"": """"}]"
11,multiple_choice,Easy,1,"In the pictograph, 1 star = 2 students. Blue has 5 stars. Number of students in Blue is:",10,/session_materials/43/images/g6_c43_s831_q11.svg,"[{""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""10"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""12"", ""is_correct"": false, ""option_image"": """"}]"
