sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/74/images/g6_c74_s1097_q01.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
2,multiple_choice,Easy,1,How many sides does the hexagon in the image have?,6,/session_materials/74/images/g6_c74_s1097_q02.svg,"[{""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}]"
3,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/74/images/g6_c74_s1097_q03.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
4,multiple_choice,Easy,1,How many sides does the hexagon in the image have?,6,/session_materials/74/images/g6_c74_s1097_q04.svg,"[{""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}]"
5,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/74/images/g6_c74_s1097_q05.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
6,multiple_choice,Easy,1,How many sides does the hexagon in the image have?,6,/session_materials/74/images/g6_c74_s1097_q06.svg,"[{""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}]"
7,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/74/images/g6_c74_s1097_q07.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
8,multiple_choice,Easy,1,How many sides does the hexagon in the image have?,6,/session_materials/74/images/g6_c74_s1097_q08.svg,"[{""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}]"
9,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/74/images/g6_c74_s1097_q09.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
10,multiple_choice,Easy,1,How many sides does the hexagon in the image have?,6,/session_materials/74/images/g6_c74_s1097_q10.svg,"[{""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}]"
11,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/74/images/g6_c74_s1097_q11.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
