sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/74/images/g6_c74_s1099_q01.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
2,short_answer,Medium,2,AB is joined to the top arc intersection using two segments. What is relation between these two segment lengths?,Equal,/session_materials/74/images/g6_c74_s1099_q02.svg,[]
3,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/74/images/g6_c74_s1099_q03.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
4,short_answer,Medium,2,AB is joined to the top arc intersection using two segments. What is relation between these two segment lengths?,Equal,/session_materials/74/images/g6_c74_s1099_q04.svg,[]
5,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/74/images/g6_c74_s1099_q05.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
6,short_answer,Medium,2,AB is joined to the top arc intersection using two segments. What is relation between these two segment lengths?,Equal,/session_materials/74/images/g6_c74_s1099_q06.svg,[]
7,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/74/images/g6_c74_s1099_q07.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
8,short_answer,Medium,2,AB is joined to the top arc intersection using two segments. What is relation between these two segment lengths?,Equal,/session_materials/74/images/g6_c74_s1099_q08.svg,[]
9,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/74/images/g6_c74_s1099_q09.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
10,short_answer,Medium,2,AB is joined to the top arc intersection using two segments. What is relation between these two segment lengths?,Equal,/session_materials/74/images/g6_c74_s1099_q10.svg,[]
11,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/74/images/g6_c74_s1099_q11.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
