sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,multiple_choice,Easy,1,Which day has the highest value in the bar graph?,Thursday,/session_materials/39/images/g6_c39_s571_q01.svg,"[{""option_text"": ""Monday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Tuesday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Thursday"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Friday"", ""is_correct"": false, ""option_image"": """"}]"
2,short_answer,Easy,2,Find total of Monday and Tuesday values.,11,/session_materials/39/images/g6_c39_s571_q02.svg,[]
3,fill_in_blank,Easy,1,Fill in the blank: Thursday value is ____.,9,/session_materials/39/images/g6_c39_s571_q03.svg,[]
4,multiple_choice,Easy,1,Which day has the highest value in the bar graph?,Thursday,/session_materials/39/images/g6_c39_s571_q04.svg,"[{""option_text"": ""Monday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Tuesday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Thursday"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Friday"", ""is_correct"": false, ""option_image"": """"}]"
5,short_answer,Easy,2,Find total of Monday and Tuesday values.,11,/session_materials/39/images/g6_c39_s571_q05.svg,[]
6,fill_in_blank,Easy,1,Fill in the blank: Thursday value is ____.,9,/session_materials/39/images/g6_c39_s571_q06.svg,[]
7,multiple_choice,Easy,1,Which day has the highest value in the bar graph?,Thursday,/session_materials/39/images/g6_c39_s571_q07.svg,"[{""option_text"": ""Monday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Tuesday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Thursday"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Friday"", ""is_correct"": false, ""option_image"": """"}]"
8,short_answer,Easy,2,Find total of Monday and Tuesday values.,11,/session_materials/39/images/g6_c39_s571_q08.svg,[]
9,fill_in_blank,Easy,1,Fill in the blank: Thursday value is ____.,9,/session_materials/39/images/g6_c39_s571_q09.svg,[]
10,multiple_choice,Easy,1,Which day has the highest value in the bar graph?,Thursday,/session_materials/39/images/g6_c39_s571_q10.svg,"[{""option_text"": ""Monday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Tuesday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Thursday"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Friday"", ""is_correct"": false, ""option_image"": """"}]"
11,short_answer,Easy,2,Find total of Monday and Tuesday values.,11,/session_materials/39/images/g6_c39_s571_q11.svg,[]
