AP3_AI_001	6	AI_READINESS	MCQ	AI readiness: Best way to use AI tutor for hard physics problems is:	[{"code": "A", "label": "Copy final answer directly without checking"}, {"code": "B", "label": "Use one vague prompt and trust output blindly"}, {"code": "C", "label": "Ask for stepwise reasoning and verify with textbook principles"}, {"code": "D", "label": "Use AI to avoid understanding the concept"}]	C	1.10
AP3_AI_002	13	AI_READINESS	MCQ	AI readiness: Responsible AI learning behavior means:	[{"code": "A", "label": "Submit AI output as original work"}, {"code": "B", "label": "Use AI drafts, then verify, refine, and cite support"}, {"code": "C", "label": "Hide all AI use from mentor and parent"}, {"code": "D", "label": "Use AI to bypass foundational learning"}]	B	1.10
AP3_AI_003	255	AI_READINESS	MCQ	AI readiness: When you receive conflicting AI answers for the same problem, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Hide AI support from mentor and parent"}, {"code": "D", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}]	D	1.10
AP3_AI_004	256	AI_READINESS	MCQ	AI readiness: When AI gives a fluent but suspicious derivation, best practice is:	[{"code": "A", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "B", "label": "Accept the first response if language looks strong"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	A	1.10
AP3_AI_005	257	AI_READINESS	MCQ	AI readiness: When you need help with a long-form essay outline, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	B	1.10
AP3_AI_006	258	AI_READINESS	MCQ	AI readiness: When you are using AI for coding/debugging support, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	C	1.10
AP3_AI_007	259	AI_READINESS	MCQ	AI readiness: When you are preparing notes for revision with AI, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Hide AI support from mentor and parent"}, {"code": "D", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}]	D	1.10
AP3_AI_008	260	AI_READINESS	MCQ	AI readiness: When you must avoid plagiarism in submissions, best practice is:	[{"code": "A", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "B", "label": "Accept the first response if language looks strong"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	A	1.10
AP3_AI_009	261	AI_READINESS	MCQ	AI readiness: When you receive conflicting AI answers for the same problem, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	B	1.10
AP3_AI_010	262	AI_READINESS	MCQ	AI readiness: When AI gives a fluent but suspicious derivation, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	C	1.10
AP3_AI_011	263	AI_READINESS	MCQ	AI readiness: When you need help with a long-form essay outline, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Hide AI support from mentor and parent"}, {"code": "D", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}]	D	1.10
AP3_AI_012	264	AI_READINESS	MCQ	AI readiness: When you are using AI for coding/debugging support, best practice is:	[{"code": "A", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "B", "label": "Accept the first response if language looks strong"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	A	1.10
AP3_AI_013	265	AI_READINESS	MCQ	AI readiness: When you are preparing notes for revision with AI, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	B	1.10
AP3_AI_014	266	AI_READINESS	MCQ	AI readiness: When you must avoid plagiarism in submissions, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	C	1.10
AP3_AI_015	267	AI_READINESS	MCQ	AI readiness: When you receive conflicting AI answers for the same problem, best practice is:	[{"code": "A", "label": "Accept the first response if language looks strong"}, {"code": "B", "label": "Use AI output directly without understanding"}, {"code": "C", "label": "Hide AI support from mentor and parent"}, {"code": "D", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}]	D	1.10
AP3_AI_016	268	AI_READINESS	MCQ	AI readiness: When AI gives a fluent but suspicious derivation, best practice is:	[{"code": "A", "label": "Cross-check with trusted sources, keep reasoning trace, and refine prompts"}, {"code": "B", "label": "Accept the first response if language looks strong"}, {"code": "C", "label": "Use AI output directly without understanding"}, {"code": "D", "label": "Hide AI support from mentor and parent"}]	A	1.10
