sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/74/images/g6_c74_s1101_q01.svg,[]
2,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/74/images/g6_c74_s1101_q02.svg,[]
3,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/74/images/g6_c74_s1101_q03.svg,[]
4,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/74/images/g6_c74_s1101_q04.svg,[]
5,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/74/images/g6_c74_s1101_q05.svg,[]
6,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/74/images/g6_c74_s1101_q06.svg,[]
7,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/74/images/g6_c74_s1101_q07.svg,[]
8,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/74/images/g6_c74_s1101_q08.svg,[]
9,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/74/images/g6_c74_s1101_q09.svg,[]
10,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/74/images/g6_c74_s1101_q10.svg,[]
11,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/74/images/g6_c74_s1101_q11.svg,[]
