sequence_no,chapter,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,Shapes and Angles,multiple_choice,Easy,1,What type of angle is shown?,Right,/session_materials/34/images/g5_math_img_q01.svg,"[{""option_text"": ""Acute"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Straight"", ""is_correct"": false, ""option_image"": """"}]"
2,Shapes and Angles,multiple_choice,Easy,1,What type of angle is shown?,Acute,/session_materials/34/images/g5_math_img_q02.svg,"[{""option_text"": ""Acute"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Reflex"", ""is_correct"": false, ""option_image"": """"}]"
3,Shapes and Angles,multiple_choice,Easy,1,What type of angle is shown?,Obtuse,/session_materials/34/images/g5_math_img_q03.svg,"[{""option_text"": ""Acute"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Straight"", ""is_correct"": false, ""option_image"": """"}]"
4,Shapes and Angles,multiple_choice,Easy,1,How many sides does the polygon in the image have?,5,/session_materials/34/images/g5_math_img_q04.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
5,Shapes and Angles,multiple_choice,Easy,1,"The triangle has side lengths 4 cm, 4 cm and 4 cm. What is it called?",Equilateral,/session_materials/34/images/g5_math_img_q05.svg,"[{""option_text"": ""Scalene"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Isosceles"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equilateral"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}]"
6,Does It Look the Same?,multiple_choice,Medium,1,How many lines of symmetry does this square have?,4,/session_materials/34/images/g5_math_img_q06.svg,"[{""option_text"": ""1"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""2"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""3"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""4"", ""is_correct"": true, ""option_image"": """"}]"
7,Does It Look the Same?,multiple_choice,Medium,1,The mirror line is vertical. Which statement is true?,Left and right match,/session_materials/34/images/g5_math_img_q07.svg,"[{""option_text"": ""Left and right match"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Top and bottom match"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""No matching parts"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only corners match"", ""is_correct"": false, ""option_image"": """"}]"
8,How Many Squares?,multiple_choice,Easy,1,How many shaded squares are there?,8,/session_materials/34/images/g5_math_img_q08.svg,"[{""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": false, ""option_image"": """"}]"
9,How Many Squares?,multiple_choice,Easy,1,How many total small squares are in the grid?,20,/session_materials/34/images/g5_math_img_q09.svg,"[{""option_text"": ""12"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""16"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""20"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""24"", ""is_correct"": false, ""option_image"": """"}]"
10,Area and Its Boundary,fill_in_blank,Easy,1,Fill in the blank: Area of this rectangle is ____ sq cm.,24,/session_materials/34/images/g5_math_img_q10.svg,[]
