sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/43/images/g6_c43_s835_q01.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
2,fill_in_blank,Easy,1,Fill in the blank: A cube has ____ faces.,6,/session_materials/43/images/g6_c43_s835_q02.svg,[]
3,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/43/images/g6_c43_s835_q03.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
4,fill_in_blank,Easy,1,Fill in the blank: A cube has ____ faces.,6,/session_materials/43/images/g6_c43_s835_q04.svg,[]
5,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/43/images/g6_c43_s835_q05.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
6,fill_in_blank,Easy,1,Fill in the blank: A cube has ____ faces.,6,/session_materials/43/images/g6_c43_s835_q06.svg,[]
7,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/43/images/g6_c43_s835_q07.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
8,fill_in_blank,Easy,1,Fill in the blank: A cube has ____ faces.,6,/session_materials/43/images/g6_c43_s835_q08.svg,[]
9,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/43/images/g6_c43_s835_q09.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
10,fill_in_blank,Easy,1,Fill in the blank: A cube has ____ faces.,6,/session_materials/43/images/g6_c43_s835_q10.svg,[]
11,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/43/images/g6_c43_s835_q11.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
